ID,Context_word_count,Human_response_word_count,FT_response_word_count,GPT_response_word_count
context_1,62,125,120,96
context_2,81,317,149,97
context_3,29,201,165,62
context_4,110,103,162,103
context_5,134,106,95,95
context_6,28,51,73,83
context_7,46,438,160,81
context_8,63,68,142,43
context_9,30,90,137,75
context_10,47,119,169,107
context_11,98,93,164,87
context_12,32,58,152,138
context_13,21,53,159,71
context_14,70,366,168,158
context_15,63,216,158,149
context_16,47,45,170,99
context_17,82,158,147,157
context_18,58,109,122,102
context_19,54,100,151,76
context_20,25,91,134,87
context_21,50,126,152,126
context_22,64,224,161,124
context_23,107,441,167,137
context_24,93,172,141,83
context_25,112,217,160,94
context_26,39,118,162,79
context_27,40,91,150,73
context_28,40,160,147,103
context_29,172,273,134,117
context_30,76,263,156,62
context_31,51,266,133,92
context_32,57,201,146,80
context_33,80,135,117,76
context_34,67,193,150,108
context_35,77,274,142,85
context_36,480,225,145,156
context_37,75,76,156,52
context_38,39,121,165,71
context_39,32,51,137,86
context_40,139,106,168,116
context_41,36,211,154,85
context_42,317,175,147,177
context_43,79,105,159,95
context_44,72,612,147,147
context_45,57,156,119,121
context_46,59,238,166,72
context_47,99,79,124,104
context_48,68,146,172,102
context_49,34,448,150,85
context_50,26,189,144,150
context_51,27,96,154,138
context_52,95,191,121,126
context_53,53,234,158,151
context_54,45,124,152,114
context_55,40,101,153,147
context_56,18,226,117,156
context_57,16,152,145,128
context_58,50,452,160,148
context_59,30,183,149,133
context_60,74,143,136,146
context_61,33,107,138,94
context_62,13,158,152,142
context_63,23,58,124,130
context_64,19,13,122,123
context_65,34,168,143,87
context_66,38,399,156,98
context_67,50,153,159,129
context_68,45,177,159,107
context_69,24,241,150,131
context_70,35,217,127,126
context_71,56,74,127,115
context_72,12,145,126,137
context_73,36,251,124,144
context_74,27,119,154,130
context_75,23,285,163,100
context_76,18,292,152,135
context_77,127,245,152,150
context_78,24,100,148,146
context_79,65,390,164,159
context_80,76,163,164,152
context_81,69,140,128,147
context_82,48,227,164,153
context_83,73,115,163,150
context_84,33,144,161,146
context_85,60,320,151,117
context_86,40,56,157,143
context_87,46,86,160,147
context_88,67,64,80,142
context_89,60,99,155,136
context_90,37,126,163,143
context_91,77,147,164,151
context_92,24,75,165,145
context_93,125,102,112,155
context_94,33,598,157,150
context_95,45,102,167,97
context_96,96,343,167,95
context_97,30,48,126,154
context_98,38,192,158,122
context_99,49,461,167,149
context_100,56,123,108,151
context_101,34,383,161,109
context_102,64,88,124,147
context_103,59,359,117,144
context_104,62,114,128,152
context_105,73,579,139,114
context_106,49,49,104,155
context_107,40,94,130,81
context_108,102,108,163,111
context_109,39,141,180,92
context_110,108,303,178,137
context_111,75,182,165,140
context_112,72,415,136,144
context_113,24,36,152,110
context_114,35,45,164,159
context_115,221,226,165,144
context_116,66,364,128,153
context_117,49,255,165,95
context_118,59,54,140,144
context_119,31,108,147,144
context_120,153,119,158,147
context_121,68,153,164,159
context_122,161,137,144,169
context_123,127,171,77,142
context_124,100,105,168,124
context_125,82,272,153,150
context_126,29,144,114,67
context_127,78,144,161,117
context_128,62,60,158,154
context_129,151,175,160,164
context_130,32,269,146,153
context_131,82,181,178,109
context_132,36,367,146,104
context_133,32,380,148,150
context_134,39,233,157,128
