topic,pair,n,mean,sd,ci_lower,ci_upper
addiction,ft_response-gpt_response,3,0.71268433,0.027493892,0.6443857137684088,0.7809829528804559
addiction,human_response-ft_response,3,0.5410921,0.09711137,0.29985409244992245,0.7823301030685712
addiction,human_response-gpt_response,3,0.620144,0.11630398,0.33122890705760877,0.9090591121226891
anger-management,ft_response-gpt_response,25,0.68730813,0.113467015,0.6404712507037473,0.7341450145931887
anger-management,human_response-ft_response,25,0.5451133,0.1580411,0.47987716493364835,0.6103494853043887
anger-management,human_response-gpt_response,25,0.5809013,0.17664784,0.5079846778363037,0.6538179716616821
anxiety,ft_response-gpt_response,87,0.62449706,0.11762422,0.5994279326397531,0.6495661793750174
anxiety,human_response-ft_response,87,0.55461955,0.122392096,0.5285342561350991,0.580704845274813
anxiety,human_response-gpt_response,87,0.63132197,0.11634888,0.6065246558950399,0.6561192774011637
behavioral-change,ft_response-gpt_response,29,0.57060736,0.17471316,0.504150032791355,0.6370646955640528
behavioral-change,human_response-ft_response,29,0.5037951,0.14589383,0.44830004452841243,0.5592901301465754
behavioral-change,human_response-gpt_response,29,0.6244904,0.15631959,0.5650295872391978,0.683951173335143
children-adolescents,ft_response-gpt_response,2,0.6719867,0.03580189,0.3503194732531051,0.9936539249555131
children-adolescents,human_response-ft_response,2,0.6251584,0.054684523,0.13383747051337452,1.1164793877782515
children-adolescents,human_response-gpt_response,2,0.6836737,0.27204046,-1.7605128647359698,3.1278602243932574
counseling-fundamentals,ft_response-gpt_response,9,0.60105896,0.09105967,0.5310643001193049,0.6710536198025701
counseling-fundamentals,human_response-ft_response,9,0.57347816,0.19993292,0.4197961228283601,0.7271602017489714
counseling-fundamentals,human_response-gpt_response,9,0.6529844,0.23858824,0.4695892275703548,0.836379533873737
depression,ft_response-gpt_response,130,0.642214,0.1035401,0.6242468857333024,0.6601811147168318
depression,human_response-ft_response,130,0.5634465,0.123401076,0.5420329710169545,0.5848600725011119
depression,human_response-gpt_response,130,0.6201341,0.11887132,0.5995066053057311,0.6407616251325013
diagnosis,ft_response-gpt_response,4,0.73914707,0.07174477,0.624985128264761,0.8533090058752536
diagnosis,human_response-ft_response,4,0.5664581,0.16292514,0.3072078526060361,0.8257083594758731
diagnosis,human_response-gpt_response,4,0.6682346,0.069514446,0.5576215908602258,0.7788475825711707
domestic-violence,ft_response-gpt_response,16,0.5386282,0.13882568,0.46465323487097987,0.6126032062453531
domestic-violence,human_response-ft_response,16,0.5167211,0.1383836,0.4429817156105646,0.5904605432242742
domestic-violence,human_response-gpt_response,16,0.5929351,0.11180588,0.5333579380242848,0.652512232568977
eating-disorders,ft_response-gpt_response,4,0.69507754,0.06581403,0.590352725172188,0.7998023518084029
eating-disorders,human_response-ft_response,4,0.6385847,0.08714842,0.49991208896873074,0.7772572578406565
eating-disorders,human_response-gpt_response,4,0.58916086,0.14809036,0.3535160460139458,0.8248056731556709
family-conflict,ft_response-gpt_response,58,0.63048315,0.11618329,0.5999343118837032,0.6610319890806523
family-conflict,human_response-ft_response,58,0.5444662,0.13397168,0.5092401420923455,0.5796922528890388
family-conflict,human_response-gpt_response,58,0.62325215,0.124520294,0.5905112105908886,0.6559930962023243
grief-and-loss,ft_response-gpt_response,8,0.69177747,0.06193289,0.6400002742700839,0.7435546611852384
grief-and-loss,human_response-ft_response,8,0.6601672,0.13663371,0.5459385786317922,0.7743958558774852
grief-and-loss,human_response-gpt_response,8,0.64748305,0.18449779,0.49323904072160774,0.8017270609248156
human-sexuality,ft_response-gpt_response,4,0.5442784,0.19851731,0.2283930471394533,0.8601637193705565
human-sexuality,human_response-ft_response,4,0.44094735,0.11288788,0.2613175428321164,0.6205771648476321
human-sexuality,human_response-gpt_response,4,0.48846155,0.07162865,0.3744843837791587,0.6024387243217324
intimacy,ft_response-gpt_response,100,0.57107794,0.10971526,0.5493080556021017,0.5928478300943094
intimacy,human_response-ft_response,100,0.5134792,0.113080606,0.4910415269399365,0.5359168194269458
intimacy,human_response-gpt_response,100,0.576929,0.1338551,0.550369217208262,0.603488729187612
legal-regulatory,ft_response-gpt_response,6,0.69040173,0.03473918,0.6539451991931812,0.7268582666500195
legal-regulatory,human_response-ft_response,6,0.6501236,0.07092325,0.5756942150538995,0.724552977328913
legal-regulatory,human_response-gpt_response,6,0.6940325,0.083017714,0.606910747001399,0.781154233505498
lgbtq,ft_response-gpt_response,15,0.6616594,0.120266095,0.5950582790804881,0.728260559992693
lgbtq,human_response-ft_response,15,0.55247104,0.15017308,0.46930795902253775,0.6356341243362269
lgbtq,human_response-gpt_response,15,0.64672464,0.120120555,0.5802040955233094,0.7132451871228698
marriage,ft_response-gpt_response,20,0.6068033,0.105048425,0.5576391209241328,0.6559674750689092
marriage,human_response-ft_response,20,0.54899734,0.089968115,0.5068909684896098,0.5911037166834249
marriage,human_response-gpt_response,20,0.58096784,0.11118592,0.5289312300314638,0.6330044570336607
military-issues,ft_response-gpt_response,1,0.6598212,,,
military-issues,human_response-ft_response,1,0.55172837,,,
military-issues,human_response-gpt_response,1,0.6525882,,,
parenting,ft_response-gpt_response,54,0.62106186,0.112705536,0.5902991717124606,0.6518245513176297
parenting,human_response-ft_response,54,0.546765,0.101030014,0.5191891435664007,0.5743409152943781
parenting,human_response-gpt_response,54,0.6220441,0.11520406,0.5905994322185851,0.6534887406940125
professional-ethics,ft_response-gpt_response,6,0.68079835,0.12681442,0.5477147772149982,0.8138819263143597
professional-ethics,human_response-ft_response,6,0.6281884,0.059425402,0.5658252391205039,0.6905515041961465
professional-ethics,human_response-gpt_response,6,0.68894964,0.08601972,0.5986774871402396,0.779221801990925
relationship-dissolution,ft_response-gpt_response,31,0.58042914,0.103165865,0.542587593204788,0.6182706803013766
