topic,pair,n,mean,sd,ci_lower,ci_upper
addiction,context-human_response,3,0.6361292,0.10414098,0.37742865942425674,0.8948297414927965
addiction,context-ft_response,3,0.64278394,0.04127644,0.5402475805500623,0.7453202991267566
addiction,context-gpt_response,3,0.7448344,0.053582467,0.6117281956269044,0.8779406505034667
anger-management,context-human_response,25,0.5680404,0.16099668,0.5015842110841953,0.634496530798129
anger-management,context-ft_response,25,0.6105753,0.07837007,0.5782257441207543,0.6429248925522193
anger-management,context-gpt_response,25,0.74610376,0.06794822,0.7180561152150791,0.7741514119455655
anxiety,context-human_response,87,0.61133814,0.102577195,0.5894759723162718,0.6332003048443727
anxiety,context-ft_response,87,0.5910603,0.10576684,0.5685183089910053,0.6136022526087261
anxiety,context-gpt_response,87,0.7622225,0.08249431,0.7446406064362938,0.7798044504789894
behavioral-change,context-human_response,29,0.614056,0.14626014,0.558421607924236,0.669690374421345
behavioral-change,context-ft_response,29,0.54633826,0.16506654,0.4835503058796546,0.6091262144679406
behavioral-change,context-gpt_response,29,0.750986,0.10244304,0.7120187317223198,0.7899532283454292
children-adolescents,context-human_response,2,0.702031,0.21112233,-1.1948278670124275,2.5988898997120122
children-adolescents,context-ft_response,2,0.6132536,0.09862468,-0.2728539925327752,1.4993611794224235
children-adolescents,context-gpt_response,2,0.6956961,0.22974876,-1.3685145152448737,2.7599067462324225
counseling-fundamentals,context-human_response,9,0.6249218,0.21991055,0.4558835940752335,0.7939600033368759
counseling-fundamentals,context-ft_response,9,0.56628895,0.11768812,0.47582584851982107,0.656752047598343
counseling-fundamentals,context-gpt_response,9,0.82295257,0.059981696,0.7768465538586065,0.8690585832034663
depression,context-human_response,130,0.60885173,0.11129536,0.5895388611732315,0.6281646004738022
depression,context-ft_response,130,0.5812487,0.10182173,0.5635797720769663,0.5989176291605215
depression,context-gpt_response,130,0.71379733,0.093379125,0.6975934318530611,0.7300012298595854
diagnosis,context-human_response,4,0.6562569,0.0941364,0.5064648917525945,0.8060489365249934
diagnosis,context-ft_response,4,0.70603824,0.120230906,0.5147240357865301,0.8973524374495538
diagnosis,context-gpt_response,4,0.8030501,0.030155035,0.7550667113630445,0.851033490243706
domestic-violence,context-human_response,16,0.60828745,0.110157005,0.54958892882907,0.6669859784737865
domestic-violence,context-ft_response,16,0.47017202,0.110153176,0.4114755336393272,0.5288685019861306
domestic-violence,context-gpt_response,16,0.6060435,0.14095055,0.530936273461649,0.6811507617174892
eating-disorders,context-human_response,4,0.5732803,0.16417168,0.3120464953580409,0.8345140543779821
eating-disorders,context-ft_response,4,0.663337,0.082830146,0.5315357462833346,0.7951382382442533
eating-disorders,context-gpt_response,4,0.8053716,0.054814115,0.718150093363299,0.8925930716528753
family-conflict,context-human_response,58,0.6194218,0.10839592,0.590920525823011,0.6479230343958
family-conflict,context-ft_response,58,0.60241085,0.09789333,0.5766711141634873,0.628150591654689
family-conflict,context-gpt_response,58,0.7367297,0.09614409,0.711449882026247,0.7620094809574566
grief-and-loss,context-human_response,8,0.57181174,0.19860399,0.4057746363172344,0.7378488349428364
grief-and-loss,context-ft_response,8,0.59503615,0.08261979,0.5259642737148805,0.6641080243350462
grief-and-loss,context-gpt_response,8,0.753373,0.07768739,0.6884247440864196,0.8183213096092591
human-sexuality,context-human_response,4,0.5959304,0.117913716,0.40830336332705386,0.7835574316940033
human-sexuality,context-ft_response,4,0.5158752,0.17751235,0.23341346276151254,0.7983369778360216
human-sexuality,context-gpt_response,4,0.7046448,0.09489756,0.5536416033975936,0.8556479950673722
intimacy,context-human_response,100,0.55857885,0.12722597,0.533334457144422,0.5838232405331903
intimacy,context-ft_response,100,0.5203564,0.10864341,0.49879920587000376,0.5419136275345372
intimacy,context-gpt_response,100,0.6961754,0.10017447,0.6762986079497225,0.7160521849351041
legal-regulatory,context-human_response,6,0.6419284,0.09110136,0.5463233571855675,0.7375333923490395
legal-regulatory,context-ft_response,6,0.6248142,0.049718086,0.5726382839915044,0.6769901406529658
legal-regulatory,context-gpt_response,6,0.8170629,0.07844521,0.7347397196530763,0.8993861090899047
lgbtq,context-human_response,15,0.541598,0.12230829,0.47386595161479556,0.6093300923534051
lgbtq,context-ft_response,15,0.5514144,0.13161021,0.47853106558277425,0.6242976754908341
lgbtq,context-gpt_response,15,0.7288696,0.0898855,0.6790926849435474,0.7786465490270947
marriage,context-human_response,20,0.5674035,0.107177265,0.5172429902683957,0.6175640003550784
marriage,context-ft_response,20,0.55288446,0.113134064,0.49993608950948215,0.6058328294816068
marriage,context-gpt_response,20,0.6971067,0.14129958,0.6309764796524632,0.7632369583815944
military-issues,context-human_response,1,0.57496804,,,
military-issues,context-ft_response,1,0.5790465,,,
military-issues,context-gpt_response,1,0.7397711,,,
parenting,context-human_response,54,0.6079614,0.11535965,0.5764742949738079,0.6394485375152058
parenting,context-ft_response,54,0.57242626,0.106677115,0.5433090131335541,0.6015435059017853
parenting,context-gpt_response,54,0.74011207,0.083712846,0.7172628579384215,0.7629612745994203
professional-ethics,context-human_response,6,0.6254205,0.078274496,0.5432764669186129,0.7075645546191679
professional-ethics,context-ft_response,6,0.65731984,0.063734256,0.5904348467917517,0.7242048407463952
professional-ethics,context-gpt_response,6,0.8149236,0.07054896,0.7408869936130895,0.8889601753093348
relationship-dissolution,context-human_response,31,0.5512219,0.11266272,0.5098968888083724,0.5925469254692766
relationship-dissolution,context-ft_response,31,0.5163072,0.10329865,0.4784169248253276,0.5541974254935811
relationship-dissolution,context-gpt_response,31,0.7032856,0.055113398,0.6830698166059953,0.7235013332200545
relationships,context-human_response,101,0.56030005,0.110473156,0.5384912637271934,0.5821088406047769
relationships,context-ft_response,101,0.5166071,0.113465935,0.4942075059390947,0.5390067055248335
relationships,context-gpt_response,101,0.6954141,0.09827335,0.676013731873058,0.7148145199656261
self-esteem,context-human_response,42,0.54929715,0.10145677,0.5176809997885221,0.580913308110953
self-esteem,context-ft_response,42,0.53656304,0.12064081,0.4989687157474197,0.5741573619045578
self-esteem,context-gpt_response,42,0.6739499,0.10064093,0.6425879749436909,0.7053118196348613
sleep-improvement,context-human_response,5,0.6353356,0.11322901,0.49474324457096075,0.7759280038650134
sleep-improvement,context-ft_response,5,0.6111084,0.07717283,0.5152856952706948,0.706931149288021
sleep-improvement,context-gpt_response,5,0.8041633,0.029129814,0.7679938356951936,0.8403327186032072
social-relationships,context-human_response,11,0.60370636,0.088169314,0.5444734100638112,0.6629393096627513
social-relationships,context-ft_response,11,0.5027923,0.086437926,0.4447225137726483,0.5608620838149372
social-relationships,context-gpt_response,11,0.71827114,0.057879373,0.6793872472266136,0.7571550253411354
spirituality,context-human_response,7,0.5525464,0.10985609,0.4509464373404489,0.6541463265603079
spirituality,context-ft_response,7,0.5707591,0.11873259,0.4609497833214917,0.6805684518851123
spirituality,context-gpt_response,7,0.6872014,0.09334617,0.6008705649136998,0.7735321965456508
stress,context-human_response,3,0.5482178,0.19153269,0.07242419503423891,1.0240113518407612
stress,context-ft_response,3,0.6820531,0.058721773,0.5361801136331517,0.8279260646505398
stress,context-gpt_response,3,0.77986526,0.04797415,0.6606908666021135,0.8990396631830427
substance-abuse,context-human_response,10,0.62312174,0.10485142,0.5481155569955815,0.6981279198720943
substance-abuse,context-ft_response,10,0.60114133,0.09471391,0.53338708384576,0.6688955833142742
substance-abuse,context-gpt_response,10,0.7541699,0.11615058,0.6710807585718163,0.8372590041158668
trauma,context-human_response,22,0.62817234,0.073708676,0.5954917424734082,0.660852933544353
trauma,context-ft_response,22,0.5829906,0.11708432,0.5310783080492816,0.6349028654660382
trauma,context-gpt_response,22,0.75331193,0.06454039,0.7246963245306257,0.7819275396432634
workplace-relationships,context-human_response,11,0.5687752,0.15458801,0.46492153882157117,0.6726288151823351
workplace-relationships,context-ft_response,11,0.5306059,0.11596117,0.45270213929105896,0.6085096851260553
workplace-relationships,context-gpt_response,11,0.73465425,0.07042562,0.6873416732362662,0.7819668222852793
