,Mean,Min,Max,SD
Context_word_count,74.33,10.0,543.0,59.51
Human_response_word_count,181.5,9.0,929.0,116.41
FT_response_word_count,148.68,73.0,182.0,18.97
GPT_response_word_count,117.85,43.0,177.0,30.51
Context_sentence_count,6.18,2.0,35.0,4.09
Context_avg_sentence_length,11.84,4.67,31.0,3.24
Human_response_sentence_count,9.93,1.0,48.0,7.19
Human_response_avg_sentence_length,19.81,6.5,89.33,6.85
FT_response_sentence_count,7.74,3.0,16.0,2.08
FT_response_avg_sentence_length,20.77,7.12,56.67,6.87
GPT_response_sentence_count,8.16,2.0,24.0,4.77
GPT_response_avg_sentence_length,17.29,5.46,42.75,5.85
Context_TTR,0.7,0.393,1.0,0.104
Human_response_TTR,0.621,0.345,1.0,0.105
FT_response_TTR,0.821,0.665,0.943,0.048
GPT_response_TTR,0.741,0.589,0.892,0.051
Context_CTTR,3.898,1.492,7.445,0.818
Human_response_CTTR,5.342,2.121,9.618,1.007
FT_response_CTTR,7.018,5.078,8.333,0.532
GPT_response_CTTR,5.608,3.685,6.94,0.597
Context_MTLD,55.424,0.0,175.0,20.827
Human_response_MTLD,76.254,0.0,204.12,22.683
FT_response_MTLD,246.585,85.305,686.0,79.312
GPT_response_MTLD,122.933,45.552,215.04,28.812
